Latitude,Longitude,Time,Speed,ID
59.349265198,18.058839338,2019-11-08 17:53:41.351811,0.2,000000005e0fc628
59.349261849,18.058845151,2019-11-08 17:53:42.359038,0.2,000000005e0fc628
59.349261849,18.058845151,2019-11-08 17:53:43.366544,0.538,000000005e0fc628
59.349252113,18.058856414,2019-11-08 17:53:44.374371,0.691,000000005e0fc628
59.349246953,18.058867676,2019-11-08 17:53:45.382284,0.629,000000005e0fc628
59.349246953,18.058867676,2019-11-08 17:53:46.390427,0.431,000000005e0fc628
59.349249136,18.058884387,2019-11-08 17:53:47.394562,0.431,000000005e0fc628
59.349241794,18.058878938,2019-11-08 17:53:48.399437,0.487,000000005e0fc628
59.34924637,18.058878938,2019-11-08 17:53:49.404097,0.042,000000005e0fc628
59.34924637,18.058878938,2019-11-08 17:53:50.413129,0.15,000000005e0fc628
59.349255523,18.058878938,2019-11-08 17:53:51.418418,0.486,000000005e0fc628
59.349255523,18.058878938,2019-11-08 17:53:52.429161,0.486,000000005e0fc628
59.349257916,18.058862227,2019-11-08 17:53:53.437161,0.363,000000005e0fc628
59.349264887,18.058845516,2019-11-08 17:53:54.445012,0.606,000000005e0fc628
59.349264887,18.058845516,2019-11-08 17:53:55.453258,0.606,000000005e0fc628
59.349271857,18.058828805,2019-11-08 17:53:56.463553,0.55,000000005e0fc628
59.349276433,18.058828805,2019-11-08 17:53:57.471375,0.392,000000005e0fc628
59.349276433,18.058828805,2019-11-08 17:53:58.479444,0.392,000000005e0fc628
59.349276433,18.058828805,2019-11-08 17:53:59.488316,0.368,000000005e0fc628
59.349283775,18.058834254,2019-11-08 17:54:00.494496,0.294,000000005e0fc628
59.349283775,18.058834254,2019-11-08 17:54:01.499867,0.294,000000005e0fc628
59.349283775,18.058834254,2019-11-08 17:54:02.508103,0.37,000000005e0fc628
59.349274039,18.058845516,2019-11-08 17:54:03.515737,0.414,000000005e0fc628
59.349274039,18.058845516,2019-11-08 17:54:04.523523,0.414,000000005e0fc628
59.349271645,18.058862227,2019-11-08 17:54:05.530837,0.515,000000005e0fc628
59.349607466,18.058357967,2019-11-08 17:56:48.907627,0.206,000000005e0fc628
59.349607466,18.058357967,2019-11-08 17:56:49.916372,0.206,000000005e0fc628
59.34964635,18.058079321,2019-11-08 17:57:02.941906,1.722,000000005e0fc628
59.349665671,18.058118559,2019-11-08 17:57:03.949621,0.157,000000005e0fc628
59.349658701,18.05813527,2019-11-08 17:57:04.957030,0.098,000000005e0fc628
59.349634441,18.058191219,2019-11-08 17:57:05.964997,0.081,000000005e0fc628
59.349634441,18.058191219,2019-11-08 17:57:06.972879,0.081,000000005e0fc628
59.349637579,18.058218827,2019-11-08 17:57:07.980849,0.225,000000005e0fc628
59.349633375,18.058240987,2019-11-08 17:57:08.995027,0.108,000000005e0fc628
59.349633375,18.058240987,2019-11-08 17:57:10.005563,0.108,000000005e0fc628
59.349616669,18.058268962,2019-11-08 17:57:11.016368,0.238,000000005e0fc628
59.349598736,18.058291122,2019-11-08 17:57:12.028075,0.0,000000005e0fc628
59.349598736,18.058291122,2019-11-08 17:57:13.038959,0.0,000000005e0fc628
59.349589584,18.058291122,2019-11-08 17:57:14.054329,0.123,000000005e0fc628
59.349583197,18.05829657,2019-11-08 17:57:15.065693,0.17,000000005e0fc628
59.349583197,18.05829657,2019-11-08 17:57:16.071308,0.17,000000005e0fc628
59.349571279,18.058291122,2019-11-08 17:57:17.081388,0.109,000000005e0fc628
59.349573461,18.058307833,2019-11-08 17:57:18.089091,0.123,000000005e0fc628
